S No,State Code,State Name,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
333,32,Kerala(State),567,Wayanad,വയനാട്,Kerala(State),WAY,03,590,Not Covered,,,,
328,32,Kerala(State),562,Malappuram,മലപ്പുറം,Kerala(State),MLP,05,592,Not Covered,,,,
329,32,Kerala(State),563,Palakkad,പാലക്കാട്,Kerala(State),PLK,06,593,Not Covered,,,,
330,32,Kerala(State),564,Pathanamthitta,പത്തനംതിട്ട,Kerala(State),PTT,12,599,Not Covered,,,,
332,32,Kerala(State),566,Thrissur,തൃശ്ശൂര്‍,Kerala(State),TSR,07,594,Not Covered,,,,
331,32,Kerala(State),565,Thiruvananthapuram,തിരുവനന്തപുരം,Kerala(State),TVP,14,601,Not Covered,,,,
327,32,Kerala(State),561,Kozhikode,കോഴിക്കോട്,Kerala(State),KOZ,04,591,Not Covered,,,,
326,32,Kerala(State),560,Kottayam,കോട്ടയം,Kerala(State),KTM,10,597,Not Covered,,,,
325,32,Kerala(State),559,Kollam,കൊല്ലം,Kerala(State),KLM,13,600,Not Covered,,,,
324,32,Kerala(State),558,Kasaragod,കാസര്‍കോഡ്,Kerala(State),KSR,01,588,Not Covered,,,,
323,32,Kerala(State),557,Kannur,കണ്ണൂര്‍,Kerala(State),KNU,02,589,Not Covered,,,,
321,32,Kerala(State),555,Ernakulam,എറണാകുളം,Kerala(State),ERN,08,595,Not Covered,,,,
322,32,Kerala(State),556,Idukki,ഇടുക്കി,Kerala(State),IDK,09,596,Not Covered,,,,
320,32,Kerala(State),554,Alappuzha,ആലപ്പുഴ,Kerala(State),ALZ,11,598,Not Covered,,,,
304,29,Karnataka(State),539,Hassan,ಹಾಸನ,Karnataka(State),HAS,23,574,Not Covered,,,,
305,29,Karnataka(State),540,Haveri,ಹಾವೇರಿ,Karnataka(State),HAV,11,564,Not Covered,,,,
313,29,Karnataka(State),547,Shivamogga,ಶಿವಮೊಗ್ಗ,Karnataka(State),SVM,15,568,Not Covered,,,,
318,29,Karnataka(State),530,Vijayapura,ವಿಜಯಾಪುರ,Karnataka(State),VJP,03,557,Not Covered,,,,
312,29,Karnataka(State),546,Raichur,ರಾಯಚೂರು,Karnataka(State),RCH,06,559,Not Covered,,,,
319,29,Karnataka(State),635,Yadgir,ಯಾದಗಿರಿ,Karnataka(State),YDG,04,580,Not Covered,,,,
311,29,Karnataka(State),545,Mysuru,ಮೈಸೂರು,Karnataka(State),MYS,26,577,Not Covered,,,,
310,29,Karnataka(State),544,Mandya,ಮಂಡ್ಯ,Karnataka(State),MDY,22,573,Not Covered,,,,
291,29,Karnataka(State),527,Belagavi,ಬೆಳಗಾವಿ,Karnataka(State),BLG,01,555,Not Covered,,,,
293,29,Karnataka(State),631,Bengaluru South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,Karnataka(State),RAM,21,584,Not Covered,,,,
292,29,Karnataka(State),526,Bengaluru Rural,ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ,Karnataka(State),BRR,21,583,Not Covered,,,,
294,29,Karnataka(State),525,Bengaluru Urban,ಬೆಂಗಳೂರು,Karnataka(State),BUR,20,572,Not Covered,,,,
295,29,Karnataka(State),529,Bidar,ಬೀದರ್‌,Karnataka(State),BDR,05,558,Not Covered,,,,
289,29,Karnataka(State),524,Bagalkote,ಬಾಗಲಕೋಟೆ,Karnataka(State),BAG,02,556,Not Covered,,,,
290,29,Karnataka(State),528,Ballari,ಬಳ್ಳಾರಿ,Karnataka(State),BLL,12,565,Not Covered,,,,
302,29,Karnataka(State),536,Dharwad,ಧಾರವಾಡ,Karnataka(State),DRW,09,562,Not Covered,,,,
301,29,Karnataka(State),535,Davanagere,ದಾವಣಗೆರೆ,Karnataka(State),DAV,14,567,Not Covered,,,,
300,29,Karnataka(State),534,Dakshina Kannada,ದಕ್ಷಿಣ ಕನ್ನಡ,Karnataka(State),DKD,24,575,Not Covered,,,,
314,29,Karnataka(State),548,Tumakuru,ತುಮಕೂರು,Karnataka(State),TMK,18,571,Not Covered,,,,
299,29,Karnataka(State),533,Chitradurga,ಚಿತ್ರದುರ್ಗ,Karnataka(State),CTR,13,566,Not Covered,,,,
298,29,Karnataka(State),532,Chikkamagaluru,ಚಿಕ್ಕಮಗಳೂರು,Karnataka(State),CKM,17,570,Not Covered,,,,
297,29,Karnataka(State),630,Chikkaballapura,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,Karnataka(State),CHB,19,582,Not Covered,,,,
296,29,Karnataka(State),531,Chamarajanagar,ಚಾಮರಾಜನಗರ,Karnataka(State),CHJ,27,578,Not Covered,,,,
303,29,Karnataka(State),537,Gadag,ಗದಗ,Karnataka(State),GDG,08,561,Not Covered,,,,
308,29,Karnataka(State),542,Kolar,ಕೋಲಾರ,Karnataka(State),KLR,19,581,Not Covered,,,,
309,29,Karnataka(State),543,Koppal,ಕೊಪ್ಪಳ,Karnataka(State),KPL,07,560,Not Covered,,,,
307,29,Karnataka(State),541,Kodagu,ಕೊಡಗು,Karnataka(State),KDG,25,576,Not Covered,,,,
306,29,Karnataka(State),538,Kalaburagi,ಕಲಬುರಗಿ,Karnataka(State),KLB,04,579,Not Covered,,,,
316,29,Karnataka(State),550,Uttara Kannada,ಉತ್ತರ ಕನ್ನಡ,Karnataka(State),UKD,10,563,Not Covered,,,,
315,29,Karnataka(State),549,Udupi,ಉಡುಪಿ,Karnataka(State),UDU,16,569,Not Covered,,,,
627,36,Telangana(State),507,Hyderabad,హైదరాబాద్,Telangana(State),HYD,05,536,Not Covered,,,,
626,36,Telangana(State),686,Hanumakonda,హనుమకొండ,Telangana(State),WRN,,000,Partially Covered,,,,
652,36,Telangana(State),696,Suryapet,సూర్యాపేట,Telangana(State),SRY,,000,Not Covered,,,,
651,36,Telangana(State),692,Siddipet,సిద్దిపేట,Telangana(State),SDD,,000,Partially Covered,,,,
650,36,Telangana(State),691,Sangareddy,సంగారెడ్డి,Telangana(State),SND,,000,Not Covered,,,,
23,28,Andhra Pradesh(State),515,Sri Potti Sriramulu Nellore,శ్రీ పొట్టి శ్రీరాములు నెల్లూరు,Andhra Pradesh(State),NEL,19,550,Not Covered,,,,
29,28,Andhra Pradesh(State),504,Y.S.R. Kadapa,వై.ఎస్.ఆర్. కడప,Andhra Pradesh(State),CUD,20,551,Not Covered,,,,
26,28,Andhra Pradesh(State),520,Visakhapatnam,విశాఖపట్నం,Andhra Pradesh(State),VSK,13,544,Not Covered,,,,
653,36,Telangana(State),698,Vikarabad,వికారాబాద్,Telangana(State),VKR,,000,Partially Covered,,,,
655,36,Telangana(State),522,Warangal,వరంగల్,Telangana(State),WAR,09,540,Partially Covered,,,,
654,36,Telangana(State),693,Wanaparthy,వనపర్తి,Telangana(State),WNP,,000,Partially Covered,,,,
648,36,Telangana(State),683,Rajanna Sircilla,రాజన్న సిరిసిల్ల,Telangana(State),RJC,,000,Not Covered,,,,
649,36,Telangana(State),518,Ranga Reddy,రంగా రెడ్డి,Telangana(State),RNG,06,537,Not Covered,,,,
656,36,Telangana(State),697,Yadadri Bhuvanagiri,యదాద్రి భువనగిరి,Telangana(State),YDD,,000,Not Covered,,,,
640,36,Telangana(State),700,Medchal Malkajgiri,మేడ్చల్ మల్కాజిగిరి,Telangana(State),MDC,,000,Not Covered,,,,
639,36,Telangana(State),513,Medak,మెదక్,Telangana(State),MDK,04,535,Not Covered,,,,
641,36,Telangana(State),720,Mulugu,ములుగు,Telangana(State),MLG,,000,Fully Covered,,,,
637,36,Telangana(State),512,Mahabubnagar,మహబూబ్ నగర్,Telangana(State),MAH,07,538,Partially Covered,,,,
636,36,Telangana(State),688,Mahabubabad,మహబుబాబాద్,Telangana(State),MHD,,000,Partially Covered,,,,
638,36,Telangana(State),684,Mancherial,మంచిర్యాల్,Telangana(State),MNC,,000,Partially Covered,,,,
625,36,Telangana(State),690,Bhadradri Kothagudem,భద్రాద్రి కొత్తగూడెం,Telangana(State),BHD,,000,Partially Covered,,,,
647,36,Telangana(State),682,Peddapalli,పెద్దపల్లి,Telangana(State),PDD,,000,Not Covered,,,,
28,28,Andhra Pradesh(State),523,West Godavari,పశ్చిమగోదావరి,Andhra Pradesh(State),WGI,15,546,Not Covered,,,,
645,36,Telangana(State),680,Nirmal,నిర్మల్,Telangana(State),NRL,,000,Partially Covered,,,,
646,36,Telangana(State),516,Nizamabad,నిజామాబాదు,Telangana(State),NIZ,02,533,Not Covered,,,,
644,36,Telangana(State),721,Narayanpet,నారాయణ్ పేట్,Telangana(State),NRN,,000,Partially Covered,,,,
642,36,Telangana(State),694,Nagarkurnool,నాగర్ కర్నూల్,Telangana(State),NGK,,000,Fully Covered,,,,
643,36,Telangana(State),514,Nalgonda,నల్గొండ,Telangana(State),NLG,08,539,Not Covered,,,,
10,28,Andhra Pradesh(State),747,Dr. B.R. Ambedkar Konaseema,డా బి ఆర్  అంబేడ్కర్ కోనసీమ,Andhra Pradesh(State),KNS,,000,Not Covered,,,,
631,36,Telangana(State),695,Jogulamba Gadwal,జోగులాంబ గద్వాల,Telangana(State),JGL,,000,Partially Covered,,,,
630,36,Telangana(State),687,Jayashankar Bhupalapally,జయశంకర్ భూపాలపల్లి,Telangana(State),JYS,,000,Partially Covered,,,,
629,36,Telangana(State),689,Jangoan,జనగాం,Telangana(State),JNN,,000,Partially Covered,,,,
628,36,Telangana(State),681,Jagitial,జగిత్యాల,Telangana(State),JGI,,000,Not Covered,,,,
